title,content,status,posttype,thumbnail,proposedtype,sources,coords,proposeddate,,,,
Septimus Wind Power,15MW wind power project,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,56|-120.95,,,,,
Shinish Creek Windpower Generation Plant,15MW wind power project,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,49.394289|-120.077433,,,,,
Silvertip,500tpd silver/lead/zinc underground mine.,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,59.907|-130.3939,,,,,
Site C Hydroelectric Project,Site C is a proposed third dam and hydroelectric generating station on the Peace River in Northeast BC,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,56.225031|-120.970459,,,,,
Siwash Waterpower Project,1.8 kw run-of-the-river hydroelectric project,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,50.094444|-121.558611,,,,,
Skookum Creek,Proposed 25 mw hydropower,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.7383|-122.949,,,,,
,,Published,proposed-project,,,BC Government | http://www.for.gov.bc.ca/major_projects/,48.9953|-123.8086,,,,,
Spanish Mountain Gold,new gold mine,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,52.58333|-121.46,,,,,
Statlu Project - Salisbury Lake,Proposed 35.7 mw Hydro power project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.5176098016|-122.045090697,,,,,
Steelhead LNG,a liquefied natural gas (LNG) project ,Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,48.883873|-125.035397,,,,,
Sukunka Coal Mine,Coal mine ,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,55.224478|-121.582644,,,,,
Sundance Wind,250 MW windpower project,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,55.35465186|-121.0845309,,,,,
Suska Coal Mine,Coal mine near Brazion Creek,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,55.413869|-122.215864,,,,,
Tamihi Creek,Proposed 15 mw hydropower project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.0461680495|-121.819696405,,,,,
Taylor Wind,Windpower project with a production capacity of up to 400 MW.,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,56.0204844|-120.734792,,,,,
Tilbury Island LNG Expansion,"Proposed expansion at Tilbury Island LNG storage facility in Delta, BC",Published,proposed-project,,LNG,BC Government | http://www.for.gov.bc.ca/major_projects/,49.14116667|-123.0385278,,,,,
Trio Creek,Proposed 25 mw,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.6104|-121.9873,,,,,
Trout Creek,8.5 mw Hydroelectric project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,55.712|-129.519,,,,,
